# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0) ! 198.976 us  |                  } /* timekeeping_advance */
 0)   5.200 us    |                                  reweight_entity();
 0) + 14.896 us   |                                }
 0)   4.672 us    |                                account_entity_enqueue();
 0) + 61.264 us   |                              }
 0) ! 131.104 us  |                            }
 0) ! 140.336 us  |                          }
 0)               |                          ttwu_do_wakeup.constprop.0() {
 0)               |                            check_preempt_curr() {
 0)               |                              resched_curr() {
 0)               |                                smp_send_reschedule() {
 0)               |                                  smp_cross_call() {
 0) + 43.792 us   |                                    gic_raise_softirq();
 0) + 56.240 us   |                                  }
 0) + 64.960 us   |                                }
 0) + 74.896 us   |                              }
 0) + 84.864 us   |                            }
 0) + 99.408 us   |                          }
 0)   6.768 us    |                          _raw_spin_unlock();
 0) + 23.552 us   |                          _raw_spin_unlock_irqrestore();
 0) ! 432.368 us  |                        }
 0) ! 447.024 us  |                      }
 0) ! 458.000 us  |                    }
 0) ! 469.760 us  |                  }
 0)   7.536 us    |                  _raw_spin_unlock_irqrestore();
 0) ! 557.872 us  |                }
 0) ! 567.760 us  |              }
 0)   6.528 us    |              up_read();
 0) ! 713.072 us  |            }
 0) ! 723.312 us  |          }
 0) ! 733.904 us  |        }
 0)               |        tty_ldisc_deref() {
 0)   5.392 us    |          ldsem_up_read();
 0) + 15.472 us   |        }
 0) # 2981.152 us |      }
 0)   5.984 us    |      mutex_unlock();
 0) # 3018.240 us |    }
 0)   9.120 us    |    _raw_spin_lock_irq();
 0)   6.048 us    |    pwq_dec_nr_in_flight();
 0) # 3083.120 us |  }
 0)   6.608 us    |  worker_enter_idle();
 0)   5.504 us    |  _raw_spin_unlock_irq();
 0)               |  schedule() {
 0)               |    wq_worker_sleeping() {
 0)   4.944 us    |      kthread_data();
 0) + 15.200 us   |    }
 0)               |    rcu_note_context_switch() {
 0)   4.688 us    |      rcu_preempt_deferred_qs();
 0) + 15.904 us   |    }
 0)   5.488 us    |    _raw_spin_lock();
 0)               |    update_rq_clock.part.0() {
 0)   5.488 us    |      update_irq_load_avg();
 0) + 18.000 us   |    }
 0)               |    deactivate_task() {
 0)               |      dequeue_task_fair() {
 0)               |        dequeue_entity() {
 0)               |          update_curr() {
 0)   4.672 us    |            update_min_vruntime();
 0)               |            cpuacct_charge() {
 0)   4.448 us    |              __rcu_read_lock();
 0)   5.040 us    |              __rcu_read_unlock();
 0) + 24.032 us   |            }
 0)   4.736 us    |            __rcu_read_lock();
 0) ! 106.320 us  |            __rcu_read_unlock();
 0) ! 205.808 us  |          }
 0) ! 121.072 us  |          __update_load_avg_se();
 0)   9.040 us    |          __update_load_avg_cfs_rq();
 0)   7.424 us    |          clear_buddies();
 0)   5.664 us    |          account_entity_dequeue();
 0)   5.248 us    |          update_cfs_group();
 0)   5.056 us    |          update_min_vruntime();
 0) ! 406.848 us  |        }
 0) ! 416.752 us  |      }
 0) ! 427.120 us  |    }
 0)               |    pick_next_task_fair() {
 0)               |      newidle_balance() {
 0)   4.576 us    |        __rcu_read_lock();
 0)   4.976 us    |        __msecs_to_jiffies();
 0)   5.120 us    |        __rcu_read_unlock();
 0) + 36.272 us   |      }
 0) + 46.576 us   |    }
 0)               |    pick_next_task_idle() {
 0)               |      put_prev_task_fair() {
 0)   4.656 us    |        check_cfs_rq_runtime();
 0) + 15.072 us   |      }
 0) + 26.448 us   |    }
 0)               |    fpsimd_thread_switch() {
 0)               |      fpsimd_save() {
 0)   4.592 us    |        have_cpu_fpsimd_context();
 0) + 14.208 us   |      }
 0) + 27.664 us   |    }
 0)   6.688 us    |    hw_breakpoint_thread_switch();
 0)   5.008 us    |    uao_thread_switch();
 ------------------------------------------
 0)  kworker-186   =>    <idle>-0   
 ------------------------------------------

 0)               |      finish_task_switch() {
 0)   5.808 us    |        _raw_spin_unlock_irq();
 0) + 16.768 us   |      }
 0) # 4077.024 us |    } /* schedule_idle */
 0) * 43955.84 us |  } /* do_idle */
 0)               |  do_idle() {
 0)               |    tick_nohz_idle_enter() {
 0)               |      ktime_get() {
 0)   6.736 us    |        arch_counter_read();
 0) + 16.640 us   |      }
 0) + 27.664 us   |    }
 0)   9.632 us    |    arch_cpu_idle_enter();
 0)   4.864 us    |    tick_check_broadcast_expired();
 0)   5.120 us    |    cpuidle_get_cpu_driver();
 0)   5.424 us    |    cpuidle_not_available();
 0)               |    tick_nohz_idle_stop_tick() {
 0)   5.168 us    |      can_stop_idle_tick();
 0)               |      tick_nohz_next_event() {
 0)   4.864 us    |        rcu_needs_cpu();
 0)               |        get_next_timer_interrupt() {
 0)   5.696 us    |          _raw_spin_lock();
 0)   8.080 us    |          __next_timer_interrupt();
 0)   7.712 us    |          _raw_spin_unlock();
 0)               |          hrtimer_get_next_event() {
 0)   5.360 us    |            _raw_spin_lock_irqsave();
 0)   7.152 us    |            _raw_spin_unlock_irqrestore();
 0) + 30.752 us   |          }
 0) + 97.168 us   |        }
 0)   7.152 us    |        timekeeping_max_deferment();
 0) ! 130.640 us  |      }
 0)   5.104 us    |      calc_load_nohz_start();
 0)   5.424 us    |      quiet_vmstat();
 0)               |      hrtimer_start_range_ns() {
 0)   6.368 us    |        _raw_spin_lock_irqsave();
 0)               |        __remove_hrtimer() {
 0)               |          hrtimer_force_reprogram() {
 0)   5.008 us    |            __hrtimer_next_event_base();
 0)   5.392 us    |            __hrtimer_next_event_base();
 0)               |            tick_program_event() {
 0)               |              clockevents_program_event() {
 0)               |                ktime_get() {
 0)   5.376 us    |                  arch_counter_read();
 0) + 16.304 us   |                }
 0)   8.000 us    |                arch_timer_set_next_event_virt();
 0) + 38.896 us   |              }
 0) + 48.928 us   |            }
 0) + 78.896 us   |          }
 0) + 90.208 us   |        }
 0)   7.856 us    |        enqueue_hrtimer();
 0)               |        hrtimer_reprogram() {
 0)               |          tick_program_event() {
 0)               |            clockevents_program_event() {
 0)               |              ktime_get() {
 0)   4.672 us    |                arch_counter_read();
 0) + 14.240 us   |              }
 0)   5.920 us    |              arch_timer_set_next_event_virt();
 0) + 34.848 us   |            }
 0) + 43.840 us   |          }
 0) + 53.936 us   |        }
 0)   6.544 us    |        _raw_spin_unlock_irqrestore();
 0) ! 198.320 us  |      }
 0)               |      nohz_balance_enter_idle() {
 0)   4.720 us    |        __rcu_read_lock();
 0)   5.248 us    |        __rcu_read_unlock();
 0) + 27.392 us   |      }
 0) ! 408.464 us  |    }
 0)               |    rcu_idle_enter() {
 0)   5.872 us    |      rcu_preempt_deferred_qs();
 0) + 17.744 us   |    }
 0)               |    arch_cpu_idle() {
 0)   ==========> |
 0)               |      gic_handle_irq() {
 0)               |        __handle_domain_irq() {
 0)               |          irq_enter() {
